HMM,Time
A0A0K2SV87_LEPSM,9.824158
A0A0Q9W122_PECCA,63.103520
Q7Z8Z3_9SACH,52.589216
A0A0D9WWX1_9ORYZ,17.608880
T1XEF6_VARPD,374.548832
A0A072F3A4_VIBPH,41.242368
A0A0H0ZS83_9MICC,46.343260
Q115E3_TRIEI,19.694880
M1BUJ2_SOLTU,25.287620
A0A0D2RK23_GOSRA,29.443294
C8X312_DESRD,10.189249
A0A0C2AH67_9ACTN,46.733572
A0A0R1J2L2_9LACO,34.997408
A0A074JBV9_9RHOB,20.765616
A0A0M2J3I6_9ACTN,17.780824
A0A0T6KU39_PSEAI,297.221984
A0A0P1MDT8_9BACT,33.336602
A2TKD0_9PARA,28.939208
A0A0S4HVB8_9PSED,15.466254
J3IBV8_9PSED,6.377296
A0A0P6X0X6_9CHLR,24.796650
A0A087G8L9_ARAAL,13.074299
A0A0Q7B7A2_9BURK,27.170776
C8TC02_KLEPR,28.356806
A0A0P9NSP5_PSESX,48.883100
F8S5V2_HPV67,25.424500
I4HYU4_MICAE,7.519763
A0A0V9K2F0_KLEPN,411.216960
H4EZV6_9RHIZ,28.289818
A0A0D4ULB3_YEASX,23.963154
D7CCS3_STRBB,14.459352
V6GL22_9LEPT,24.553476
K7XKF0_9HEPC,38.855096
A0A0C6BB88_YEASX,27.651604
G5RZ68_SALET,11.140412
A0A0N4T2C5_BRUPA,17.928220
A0A0P6XKB2_9CHLR,10.644262
A0DD59_PARTE,4.466148
A0A0P7JN00_9MYCO,9.946862
A0A0R0V838_ACIBA,11.623211
A0A087LKF0_9RHIZ,12.278307
A0A0A9RCC7_ARUDO,5.252232
A0A0D2DW88_9EURO,11.794476
R7Y995_9ACTN,11.374020
F3AQB2_9FIRM,80.915880
M1FFL1_9TELE,52.462476
B0DAB4_LACBS,114.734416
D6P1K5_9HIV1,11.280436
A0A0V4REG3_PSEAI,41.219696
G9YPX2_9FIRM,4.726449
