HMM,Time
A0A0K2SV87_LEPSM,10.905789
A0A0Q9W122_PECCA,70.389072
Q7Z8Z3_9SACH,58.047048
A0A0D9WWX1_9ORYZ,18.951056
T1XEF6_VARPD,400.003200
A0A072F3A4_VIBPH,41.611200
A0A0H0ZS83_9MICC,51.993800
Q115E3_TRIEI,21.222704
M1BUJ2_SOLTU,27.495628
A0A0D2RK23_GOSRA,32.125268
C8X312_DESRD,10.961723
A0A0C2AH67_9ACTN,47.409572
A0A0R1J2L2_9LACO,37.843128
A0A074JBV9_9RHOB,22.224026
A0A0M2J3I6_9ACTN,19.439764
A0A0T6KU39_PSEAI,313.071168
A0A0P1MDT8_9BACT,38.854564
A2TKD0_9PARA,32.133974
A0A0S4HVB8_9PSED,16.592627
J3IBV8_9PSED,6.820335
A0A0P6X0X6_9CHLR,26.798974
A0A087G8L9_ARAAL,14.015917
A0A0Q7B7A2_9BURK,29.021334
C8TC02_KLEPR,28.243546
A0A0P9NSP5_PSESX,53.365076
F8S5V2_HPV67,27.545714
I4HYU4_MICAE,8.221410
A0A0V9K2F0_KLEPN,438.744864
H4EZV6_9RHIZ,29.718124
A0A0D4ULB3_YEASX,25.964364
D7CCS3_STRBB,15.803021
V6GL22_9LEPT,26.797528
K7XKF0_9HEPC,41.561564
A0A0C6BB88_YEASX,29.910816
G5RZ68_SALET,11.907069
A0A0N4T2C5_BRUPA,19.322404
A0A0P6XKB2_9CHLR,11.480260
A0DD59_PARTE,4.953419
A0A0P7JN00_9MYCO,10.773580
A0A0R0V838_ACIBA,12.549532
A0A087LKF0_9RHIZ,13.215754
A0A0A9RCC7_ARUDO,5.721790
A0A0D2DW88_9EURO,12.757233
R7Y995_9ACTN,12.269907
F3AQB2_9FIRM,88.160224
M1FFL1_9TELE,58.244584
B0DAB4_LACBS,124.782328
D6P1K5_9HIV1,12.341067
A0A0V4REG3_PSEAI,45.668016
G9YPX2_9FIRM,5.236809
