HMM,Time
A0A0K2SV87_LEPSM,7.691492
A0A0Q9W122_PECCA,42.109396
Q7Z8Z3_9SACH,39.789256
A0A0D9WWX1_9ORYZ,13.924932
T1XEF6_VARPD,215.996432
A0A072F3A4_VIBPH,24.855862
A0A0H0ZS83_9MICC,30.918628
Q115E3_TRIEI,15.388038
M1BUJ2_SOLTU,22.765756
A0A0D2RK23_GOSRA,21.918876
C8X312_DESRD,7.554195
A0A0C2AH67_9ACTN,33.790240
A0A0R1J2L2_9LACO,22.630800
A0A074JBV9_9RHOB,15.605913
A0A0M2J3I6_9ACTN,13.426520
A0A0T6KU39_PSEAI,166.565856
A0A0P1MDT8_9BACT,24.167356
A2TKD0_9PARA,23.077150
A0A0S4HVB8_9PSED,11.579604
J3IBV8_9PSED,4.733370
A0A0P6X0X6_9CHLR,17.381200
A0A087G8L9_ARAAL,10.065892
A0A0Q7B7A2_9BURK,20.445934
C8TC02_KLEPR,16.123297
A0A0P9NSP5_PSESX,28.106036
F8S5V2_HPV67,19.757592
I4HYU4_MICAE,5.737627
A0A0V9K2F0_KLEPN,232.683696
H4EZV6_9RHIZ,18.867542
A0A0D4ULB3_YEASX,20.716656
D7CCS3_STRBB,10.967264
V6GL22_9LEPT,18.030048
K7XKF0_9HEPC,42.850588
A0A0C6BB88_YEASX,21.307528
G5RZ68_SALET,8.241003
A0A0N4T2C5_BRUPA,14.154746
A0A0P6XKB2_9CHLR,7.981003
A0DD59_PARTE,3.498927
A0A0P7JN00_9MYCO,7.484589
A0A0R0V838_ACIBA,8.832452
A0A087LKF0_9RHIZ,9.175276
A0A0A9RCC7_ARUDO,4.022620
A0A0D2DW88_9EURO,9.118309
R7Y995_9ACTN,8.420330
F3AQB2_9FIRM,62.553300
M1FFL1_9TELE,42.271880
B0DAB4_LACBS,77.885048
D6P1K5_9HIV1,7.835153
A0A0V4REG3_PSEAI,31.711376
G9YPX2_9FIRM,3.680554
