HMM,Time
A0A0K2SV87_LEPSM,17.006980
A0A0Q9W122_PECCA,105.593416
Q7Z8Z3_9SACH,86.921728
A0A0D9WWX1_9ORYZ,29.706356
T1XEF6_VARPD,586.514240
A0A072F3A4_VIBPH,62.968600
A0A0H0ZS83_9MICC,78.039816
Q115E3_TRIEI,33.097596
M1BUJ2_SOLTU,42.954492
A0A0D2RK23_GOSRA,50.003468
C8X312_DESRD,17.154046
A0A0C2AH67_9ACTN,67.501736
A0A0R1J2L2_9LACO,59.468676
A0A074JBV9_9RHOB,34.752952
A0A0M2J3I6_9ACTN,30.526808
A0A0T6KU39_PSEAI,443.884992
A0A0P1MDT8_9BACT,44.458072
A2TKD0_9PARA,50.441036
A0A0S4HVB8_9PSED,26.218400
J3IBV8_9PSED,10.638638
A0A0P6X0X6_9CHLR,41.468416
A0A087G8L9_ARAAL,21.852140
A0A0Q7B7A2_9BURK,45.530908
C8TC02_KLEPR,36.158496
A0A0P9NSP5_PSESX,77.836736
F8S5V2_HPV67,43.310520
I4HYU4_MICAE,12.845436
A0A0V9K2F0_KLEPN,629.117056
H4EZV6_9RHIZ,45.383712
A0A0D4ULB3_YEASX,40.756700
D7CCS3_STRBB,24.638776
V6GL22_9LEPT,40.986048
K7XKF0_9HEPC,65.304704
A0A0C6BB88_YEASX,46.723664
G5RZ68_SALET,18.492132
A0A0N4T2C5_BRUPA,30.213116
A0A0P6XKB2_9CHLR,17.796940
A0DD59_PARTE,7.748000
A0A0P7JN00_9MYCO,16.840140
A0A0R0V838_ACIBA,19.730818
A0A087LKF0_9RHIZ,20.615046
A0A0A9RCC7_ARUDO,8.978800
A0A0D2DW88_9EURO,19.996048
R7Y995_9ACTN,19.025372
F3AQB2_9FIRM,138.067120
M1FFL1_9TELE,82.022848
B0DAB4_LACBS,195.160128
D6P1K5_9HIV1,19.215240
A0A0V4REG3_PSEAI,71.748056
G9YPX2_9FIRM,8.130235
