HMM,Time
A0A0K2SV87_LEPSM,16.141388
A0A0Q9W122_PECCA,84.342312
Q7Z8Z3_9SACH,79.828152
A0A0D9WWX1_9ORYZ,28.592274
T1XEF6_VARPD,423.490720
A0A072F3A4_VIBPH,51.131208
A0A0H0ZS83_9MICC,62.213880
Q115E3_TRIEI,31.452000
M1BUJ2_SOLTU,46.410012
A0A0D2RK23_GOSRA,44.626212
C8X312_DESRD,15.588746
A0A0C2AH67_9ACTN,54.811296
A0A0R1J2L2_9LACO,46.337180
A0A074JBV9_9RHOB,31.950792
A0A0M2J3I6_9ACTN,27.653432
A0A0T6KU39_PSEAI,328.985632
A0A0P1MDT8_9BACT,38.546680
A2TKD0_9PARA,47.277588
A0A0S4HVB8_9PSED,23.746014
J3IBV8_9PSED,9.722213
A0A0P6X0X6_9CHLR,35.727228
A0A087G8L9_ARAAL,20.716436
A0A0Q7B7A2_9BURK,41.886100
C8TC02_KLEPR,32.061640
A0A0P9NSP5_PSESX,57.645800
F8S5V2_HPV67,40.426336
I4HYU4_MICAE,11.748352
A0A0V9K2F0_KLEPN,453.782112
H4EZV6_9RHIZ,37.248868
A0A0D4ULB3_YEASX,42.501616
D7CCS3_STRBB,22.446384
V6GL22_9LEPT,36.766988
K7XKF0_9HEPC,85.234736
A0A0C6BB88_YEASX,43.623856
G5RZ68_SALET,16.953300
A0A0N4T2C5_BRUPA,29.011824
A0A0P6XKB2_9CHLR,16.516191
A0DD59_PARTE,7.152683
A0A0P7JN00_9MYCO,15.410692
A0A0R0V838_ACIBA,18.216284
A0A087LKF0_9RHIZ,18.838360
A0A0A9RCC7_ARUDO,8.347791
A0A0D2DW88_9EURO,18.800488
R7Y995_9ACTN,17.646612
F3AQB2_9FIRM,128.382096
M1FFL1_9TELE,84.260536
B0DAB4_LACBS,159.189792
D6P1K5_9HIV1,16.059953
A0A0V4REG3_PSEAI,64.834264
G9YPX2_9FIRM,7.611166
