HMM,Time
A0A0K2SV87_LEPSM,1.169507
A0A0Q9W122_PECCA,8.969147
Q7Z8Z3_9SACH,6.293187
A0A0D9WWX1_9ORYZ,2.058130
T1XEF6_VARPD,60.475136
A0A072F3A4_VIBPH,4.661751
A0A0H0ZS83_9MICC,5.717133
Q115E3_TRIEI,2.351262
M1BUJ2_SOLTU,2.961101
A0A0D2RK23_GOSRA,3.509747
C8X312_DESRD,1.257020
A0A0C2AH67_9ACTN,5.236184
A0A0R1J2L2_9LACO,4.153353
A0A074JBV9_9RHOB,2.447152
A0A0M2J3I6_9ACTN,2.148680
A0A0T6KU39_PSEAI,64.425004
A0A0P1MDT8_9BACT,6.149989
A2TKD0_9PARA,3.448005
A0A0S4HVB8_9PSED,1.812113
J3IBV8_9PSED,0.795715
A0A0P6X0X6_9CHLR,2.930902
A0A087G8L9_ARAAL,1.522941
A0A0Q7B7A2_9BURK,3.058761
C8TC02_KLEPR,3.040643
A0A0P9NSP5_PSESX,5.728836
F8S5V2_HPV67,2.968099
I4HYU4_MICAE,0.885858
A0A0V9K2F0_KLEPN,74.301848
H4EZV6_9RHIZ,3.516282
A0A0D4ULB3_YEASX,2.782788
D7CCS3_STRBB,1.712609
V6GL22_9LEPT,2.919552
K7XKF0_9HEPC,4.504356
A0A0C6BB88_YEASX,3.209866
G5RZ68_SALET,1.350427
A0A0N4T2C5_BRUPA,2.069201
A0A0P6XKB2_9CHLR,1.331553
A0DD59_PARTE,0.567107
A0A0P7JN00_9MYCO,1.207343
A0A0R0V838_ACIBA,1.403483
A0A087LKF0_9RHIZ,1.417023
A0A0A9RCC7_ARUDO,0.695192
A0A0D2DW88_9EURO,1.417670
R7Y995_9ACTN,1.400107
F3AQB2_9FIRM,9.609343
M1FFL1_9TELE,6.049442
B0DAB4_LACBS,13.468530
D6P1K5_9HIV1,1.393425
A0A0V4REG3_PSEAI,4.974066
G9YPX2_9FIRM,0.634238
