HMM,Time
A0A0K2SV87_LEPSM,1.237504
A0A0Q9W122_PECCA,6.585919
Q7Z8Z3_9SACH,6.462740
A0A0D9WWX1_9ORYZ,2.275635
T1XEF6_VARPD,35.904192
A0A072F3A4_VIBPH,4.167479
A0A0H0ZS83_9MICC,4.984683
Q115E3_TRIEI,2.528648
M1BUJ2_SOLTU,3.666685
A0A0D2RK23_GOSRA,3.494306
C8X312_DESRD,1.212068
A0A0C2AH67_9ACTN,4.506882
A0A0R1J2L2_9LACO,3.647744
A0A074JBV9_9RHOB,2.547657
A0A0M2J3I6_9ACTN,2.221675
A0A0T6KU39_PSEAI,28.269458
A0A0P1MDT8_9BACT,3.863967
A2TKD0_9PARA,3.721153
A0A0S4HVB8_9PSED,1.876906
J3IBV8_9PSED,0.786366
A0A0P6X0X6_9CHLR,2.827904
A0A087G8L9_ARAAL,1.599556
A0A0Q7B7A2_9BURK,3.281340
C8TC02_KLEPR,2.809457
A0A0P9NSP5_PSESX,4.744776
F8S5V2_HPV67,3.137443
I4HYU4_MICAE,0.992695
A0A0V9K2F0_KLEPN,38.693504
H4EZV6_9RHIZ,3.115693
A0A0D4ULB3_YEASX,3.335777
D7CCS3_STRBB,1.774156
V6GL22_9LEPT,2.951309
K7XKF0_9HEPC,6.831367
A0A0C6BB88_YEASX,3.447288
G5RZ68_SALET,1.359054
A0A0N4T2C5_BRUPA,2.252747
A0A0P6XKB2_9CHLR,1.367085
A0DD59_PARTE,0.587650
A0A0P7JN00_9MYCO,1.247270
A0A0R0V838_ACIBA,1.426418
A0A087LKF0_9RHIZ,1.478719
A0A0A9RCC7_ARUDO,0.723158
A0A0D2DW88_9EURO,1.491611
R7Y995_9ACTN,1.403961
F3AQB2_9FIRM,9.945842
M1FFL1_9TELE,7.011850
B0DAB4_LACBS,12.329753
D6P1K5_9HIV1,1.360913
A0A0V4REG3_PSEAI,4.987038
G9YPX2_9FIRM,0.657714
