HMM,Time
XYNA_THEMA,5.715414
GLGC_BURP8,3.301569
H6_ONCMY,0.816546
XYLG_YERPA,30.740390
BP40_BPPHE,1.249954
MURD_CUPMC,4.834447
NTPA_BRASB,1.809452
RS14_ACICJ,0.993523
RIMO_BDEBA,3.324867
FDFT_USTMA,3.216452
PROF1_STRPU,1.079909
SMAG1_RAT,3.408985
HTPX_SERP5,2.204479
CLPB_ECOL6,10.551690
YO13_BPHC1,1.224471
Y5318_PSEAB,2.113206
PIMT_SHIB3,1.799185
P10_ASFWA,0.805479
MSCL_HAEDU,1.255427
KCD15_HUMAN,2.103366
TLX3_HUMAN,2.555698
KDUI_YERE8,1.701247
TRG_CUPNH,2.074145
YAEH_SALTY,1.072754
RS18_METPP,0.858008
MNME_PSYIN,4.298921
ECM14_LEPMJ,3.621402
EVI1B_XENLA,15.920918
PUR9_CLOBL,3.161387
PRGJ_SALTY,0.884170
GCSH_BORA1,1.085673
SPEH_BACCN,1.142083
EFTS_HAHCH,1.903340
RBL_PINPS,0.866282
SYC_BURCC,4.013810
OPSV_ORYLA,3.264584
SYE1_BRUSU,3.522791
RM11_RECAM,1.210530
QUEA_BACMF,2.143518
MT2H_BOVIN,0.786329
EMC4_HUMAN,1.372697
RS5_ANAMM,1.367672
FTSH3_ORYSJ,9.504386
HTPX_BURP0,2.274755
RMLB_MYCTO,4.204841
LEXA_RHORT,1.941887
RS3_AGRRK,1.748496
META_SYNP6,1.891001
PYRK_METAC,2.168515
CYSK_YEAST,3.909477
