HMM,Time
XYNA_THEMA,8.232417
GLGC_BURP8,4.780997
H6_ONCMY,1.143731
XYLG_YERPA,43.660704
BP40_BPPHE,1.797701
MURD_CUPMC,6.898527
NTPA_BRASB,2.659280
RS14_ACICJ,1.373992
RIMO_BDEBA,4.848306
FDFT_USTMA,4.640704
PROF1_STRPU,1.539696
SMAG1_RAT,4.828465
HTPX_SERP5,3.134278
CLPB_ECOL6,15.214768
YO13_BPHC1,1.732653
Y5318_PSEAB,3.035224
PIMT_SHIB3,2.646059
P10_ASFWA,1.086047
MSCL_HAEDU,1.803690
KCD15_HUMAN,2.954714
TLX3_HUMAN,3.697438
KDUI_YERE8,2.464257
TRG_CUPNH,2.953166
YAEH_SALTY,1.514161
RS18_METPP,1.234974
MNME_PSYIN,6.283052
ECM14_LEPMJ,5.081143
EVI1B_XENLA,22.909920
PUR9_CLOBL,4.604597
PRGJ_SALTY,1.232042
GCSH_BORA1,1.645200
SPEH_BACCN,1.649298
EFTS_HAHCH,2.781541
RBL_PINPS,1.188821
SYC_BURCC,5.917735
OPSV_ORYLA,4.750205
SYE1_BRUSU,5.178353
RM11_RECAM,1.712320
QUEA_BACMF,3.126481
MT2H_BOVIN,1.142126
EMC4_HUMAN,1.904545
RS5_ANAMM,1.960430
FTSH3_ORYSJ,13.689216
HTPX_BURP0,3.303354
RMLB_MYCTO,5.994528
LEXA_RHORT,2.895456
RS3_AGRRK,2.513589
META_SYNP6,2.691848
PYRK_METAC,3.076369
CYSK_YEAST,5.518012
