HMM,Time
XYNA_THEMA,2.936740
GLGC_BURP8,1.727778
H6_ONCMY,0.429313
XYLG_YERPA,17.120424
BP40_BPPHE,0.612032
MURD_CUPMC,2.480190
NTPA_BRASB,0.940612
RS14_ACICJ,0.490427
RIMO_BDEBA,1.745678
FDFT_USTMA,1.620518
PROF1_STRPU,0.585936
SMAG1_RAT,1.702918
HTPX_SERP5,1.109257
CLPB_ECOL6,5.432100
YO13_BPHC1,0.598620
Y5318_PSEAB,1.076920
PIMT_SHIB3,0.944751
P10_ASFWA,0.406225
MSCL_HAEDU,0.672353
KCD15_HUMAN,1.032479
TLX3_HUMAN,1.369448
KDUI_YERE8,0.851985
TRG_CUPNH,1.103676
YAEH_SALTY,0.537192
RS18_METPP,0.511442
MNME_PSYIN,2.307877
ECM14_LEPMJ,1.859420
EVI1B_XENLA,8.185822
PUR9_CLOBL,1.610858
PRGJ_SALTY,0.466949
GCSH_BORA1,0.610644
SPEH_BACCN,0.625994
EFTS_HAHCH,0.984687
RBL_PINPS,0.558593
SYC_BURCC,2.101323
OPSV_ORYLA,1.766444
SYE1_BRUSU,1.874270
RM11_RECAM,0.604990
QUEA_BACMF,1.114555
MT2H_BOVIN,0.430390
EMC4_HUMAN,0.715927
RS5_ANAMM,0.715378
FTSH3_ORYSJ,4.991074
HTPX_BURP0,1.150524
RMLB_MYCTO,2.293052
LEXA_RHORT,1.002778
RS3_AGRRK,0.925182
META_SYNP6,0.969958
PYRK_METAC,1.111503
CYSK_YEAST,1.985586
