HMM,Time
XYNA_THEMA,6.625803
GLGC_BURP8,3.827671
H6_ONCMY,0.883267
XYLG_YERPA,35.157128
BP40_BPPHE,1.454989
MURD_CUPMC,5.551663
NTPA_BRASB,2.094905
RS14_ACICJ,1.166187
RIMO_BDEBA,3.907362
FDFT_USTMA,3.826122
PROF1_STRPU,1.300819
SMAG1_RAT,3.944116
HTPX_SERP5,2.534916
CLPB_ECOL6,12.237430
YO13_BPHC1,1.404477
Y5318_PSEAB,2.445101
PIMT_SHIB3,2.162802
P10_ASFWA,0.868822
MSCL_HAEDU,1.483754
KCD15_HUMAN,2.374505
TLX3_HUMAN,3.001201
KDUI_YERE8,1.973439
TRG_CUPNH,2.404731
YAEH_SALTY,1.227980
RS18_METPP,1.037931
MNME_PSYIN,5.050204
ECM14_LEPMJ,4.169887
EVI1B_XENLA,18.363790
PUR9_CLOBL,3.688800
PRGJ_SALTY,1.001705
GCSH_BORA1,1.366358
SPEH_BACCN,1.328302
EFTS_HAHCH,2.220330
RBL_PINPS,0.966856
SYC_BURCC,4.677000
OPSV_ORYLA,3.805526
SYE1_BRUSU,4.160512
RM11_RECAM,1.356240
QUEA_BACMF,2.553027
MT2H_BOVIN,0.931578
EMC4_HUMAN,1.560919
RS5_ANAMM,1.578118
FTSH3_ORYSJ,11.025492
HTPX_BURP0,2.620098
RMLB_MYCTO,4.927580
LEXA_RHORT,2.258176
RS3_AGRRK,2.049045
META_SYNP6,2.177288
PYRK_METAC,2.490957
CYSK_YEAST,4.420273
