HMM,Time
XYNA_THEMA,17.362716
GLGC_BURP8,21.537944
H6_ONCMY,30.195628
XYLG_YERPA,173.510992
BP40_BPPHE,11.719272
MURD_CUPMC,45.132072
NTPA_BRASB,28.550008
RS14_ACICJ,11.436971
RIMO_BDEBA,37.633432
FDFT_USTMA,29.808304
PROF1_STRPU,63.757592
SMAG1_RAT,25.859424
HTPX_SERP5,23.405588
CLPB_ECOL6,67.191944
YO13_BPHC1,10.638401
Y5318_PSEAB,18.488672
PIMT_SHIB3,21.404124
P10_ASFWA,18.179074
MSCL_HAEDU,16.418875
KCD15_HUMAN,22.466250
TLX3_HUMAN,20.164974
KDUI_YERE8,13.758863
TRG_CUPNH,35.378344
YAEH_SALTY,25.887820
RS18_METPP,92.390528
MNME_PSYIN,41.232280
ECM14_LEPMJ,24.289106
EVI1B_XENLA,92.336848
PUR9_CLOBL,23.349962
PRGJ_SALTY,15.322629
GCSH_BORA1,9.902100
SPEH_BACCN,28.694560
EFTS_HAHCH,28.345456
RBL_PINPS,23.311988
SYC_BURCC,28.783476
OPSV_ORYLA,29.859038
SYE1_BRUSU,23.921400
RM11_RECAM,13.994632
QUEA_BACMF,19.546576
MT2H_BOVIN,55.798360
EMC4_HUMAN,19.819628
RS5_ANAMM,30.102566
